DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,repsTo,repsFrom,uSNChanged,name,objectGUID,replUpToDateVector,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,msDS-ExpirePasswordsOnSmartCardOnlyAccounts,dc,cn,description,showInAdvancedViewOnly,ou,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,member,groupType,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-SupportedEncryptionTypes,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,dNSTombstoned,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,sn,givenName,userPrincipalName,gPCUserExtensionNames
"CN=4aaabc3a-c416-4b9c-a6bb-4b453ab1c1f0,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=4aaabc3a-c416-4b9c-a6bb-4b453ab1c1f0,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5779,,,,5779,4aaabc3a-c416-4b9c-a6bb-4b453ab1c1f0,X'02949b289277ea43965c3d115c28cae4',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,4aaabc3a-c416-4b9c-a6bb-4b453ab1c1f0,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=9738c400-7795-4d6e-b19d-c16cd6486166,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=9738c400-7795-4d6e-b19d-c16cd6486166,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5780,,,,5780,9738c400-7795-4d6e-b19d-c16cd6486166,X'8664853ad55f7f4cb71f1d5c2a7d20df',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,9738c400-7795-4d6e-b19d-c16cd6486166,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=de10d491-909f-4fb0-9abb-4b7865c0fe80,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=de10d491-909f-4fb0-9abb-4b7865c0fe80,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5781,,,,5781,de10d491-909f-4fb0-9abb-4b7865c0fe80,X'012c0963e9c67442824addbda70c1510',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,de10d491-909f-4fb0-9abb-4b7865c0fe80,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=b96ed344-545a-4172-aa0c-68118202f125,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=b96ed344-545a-4172-aa0c-68118202f125,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5782,,,,5782,b96ed344-545a-4172-aa0c-68118202f125,X'23a4796ba1cf7e4aa91ffa11cf1ff38d',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,b96ed344-545a-4172-aa0c-68118202f125,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=4c93ad42-178a-4275-8600-16811d28f3aa,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=4c93ad42-178a-4275-8600-16811d28f3aa,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5783,,,,5783,4c93ad42-178a-4275-8600-16811d28f3aa,X'03cacd54b95dd046af0405bfb57bd561',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,4c93ad42-178a-4275-8600-16811d28f3aa,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=c88227bc-fcca-4b58-8d8a-cd3d64528a02,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=c88227bc-fcca-4b58-8d8a-cd3d64528a02,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5784,,,,5784,c88227bc-fcca-4b58-8d8a-cd3d64528a02,X'1f6e188cea55e74ab30e758c3fd4b539',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,c88227bc-fcca-4b58-8d8a-cd3d64528a02,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=5e1574f6-55df-493e-a671-aaeffca6a100,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=5e1574f6-55df-493e-a671-aaeffca6a100,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5785,,,,5785,5e1574f6-55df-493e-a671-aaeffca6a100,X'fa0217efc1020c4697e81fcc2282d287',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,5e1574f6-55df-493e-a671-aaeffca6a100,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=d262aae8-41f7-48ed-9f35-56bbb677573d,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=d262aae8-41f7-48ed-9f35-56bbb677573d,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5786,,,,5786,d262aae8-41f7-48ed-9f35-56bbb677573d,X'b32e69bf5260e34c979eef716dbdd62b',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,d262aae8-41f7-48ed-9f35-56bbb677573d,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=82112ba0-7e4c-4a44-89d9-d46c9612bf91,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=82112ba0-7e4c-4a44-89d9-d46c9612bf91,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5787,,,,5787,82112ba0-7e4c-4a44-89d9-d46c9612bf91,X'8c886b54442ef74586ff2974bc227ff2',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,82112ba0-7e4c-4a44-89d9-d46c9612bf91,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=c3c927a6-cc1d-47c0-966b-be8f9b63d991,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=c3c927a6-cc1d-47c0-966b-be8f9b63d991,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5788,,,,5788,c3c927a6-cc1d-47c0-966b-be8f9b63d991,X'ab366106f0520e4d983e26513e2c3e79',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,c3c927a6-cc1d-47c0-966b-be8f9b63d991,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=54afcfb9-637a-4251-9f47-4d50e7021211,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=54afcfb9-637a-4251-9f47-4d50e7021211,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5789,,,,5789,54afcfb9-637a-4251-9f47-4d50e7021211,X'b02b1061facf09469a367abf56634fc0',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,54afcfb9-637a-4251-9f47-4d50e7021211,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=f4728883-84dd-483c-9897-274f2ebcf11e,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=f4728883-84dd-483c-9897-274f2ebcf11e,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5790,,,,5790,f4728883-84dd-483c-9897-274f2ebcf11e,X'0c08dc66e6aeca40b5a263bd73c8409c',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,f4728883-84dd-483c-9897-274f2ebcf11e,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ff4f9d27-7157-4cb0-80a9-5d6f2b14c8ff,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=ff4f9d27-7157-4cb0-80a9-5d6f2b14c8ff,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5791,,,,5791,ff4f9d27-7157-4cb0-80a9-5d6f2b14c8ff,X'6fd6bc06de02c94487a483df4026e063',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,ff4f9d27-7157-4cb0-80a9-5d6f2b14c8ff,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=83C53DA7-427E-47A4-A07A-A324598B88F7,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=83C53DA7-427E-47A4-A07A-A324598B88F7,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5792,,,,5792,83C53DA7-427E-47A4-A07A-A324598B88F7,X'd62245cbf60ec843b72f5af3ae288ff2',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,83C53DA7-427E-47A4-A07A-A324598B88F7,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=C81FC9CC-0130-4FD1-B272-634D74818133,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=C81FC9CC-0130-4FD1-B272-634D74818133,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5793,,,,5793,C81FC9CC-0130-4FD1-B272-634D74818133,X'08612612b731e64ca217315b95ae38ca',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,C81FC9CC-0130-4FD1-B272-634D74818133,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=E5F9E791-D96D-4FC9-93C9-D53E1DC439BA,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=E5F9E791-D96D-4FC9-93C9-D53E1DC439BA,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5794,,,,5794,E5F9E791-D96D-4FC9-93C9-D53E1DC439BA,X'8f8cc9b999ba754e816adf3b370810c0',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,E5F9E791-D96D-4FC9-93C9-D53E1DC439BA,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=e6d5fd00-385d-4e65-b02d-9da3493ed850,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=e6d5fd00-385d-4e65-b02d-9da3493ed850,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5795,,,,5795,e6d5fd00-385d-4e65-b02d-9da3493ed850,X'327073ed2c28e34694d4e11aaabf03b0',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,e6d5fd00-385d-4e65-b02d-9da3493ed850,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=3a6b3fbf-3168-4312-a10d-dd5b3393952d,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=3a6b3fbf-3168-4312-a10d-dd5b3393952d,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5796,,,,5796,3a6b3fbf-3168-4312-a10d-dd5b3393952d,X'0d072ffd8fadff4e8b3b238703b5ca98',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,3a6b3fbf-3168-4312-a10d-dd5b3393952d,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=7F950403-0AB3-47F9-9730-5D7B0269F9BD,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=7F950403-0AB3-47F9-9730-5D7B0269F9BD,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5797,,,,5797,7F950403-0AB3-47F9-9730-5D7B0269F9BD,X'188ecc0e556acb439c7c54421465dfff',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,7F950403-0AB3-47F9-9730-5D7B0269F9BD,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=434bb40d-dbc9-4fe7-81d4-d57229f7b080,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=434bb40d-dbc9-4fe7-81d4-d57229f7b080,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5798,,,,5798,434bb40d-dbc9-4fe7-81d4-d57229f7b080,X'8569a7ed056f444c8d919394439f2742',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,434bb40d-dbc9-4fe7-81d4-d57229f7b080,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=A0C238BA-9E30-4EE6-80A6-43F731E9A5CD,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=A0C238BA-9E30-4EE6-80A6-43F731E9A5CD,CN=Operations,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5799,,,,5799,A0C238BA-9E30-4EE6-80A6-43F731E9A5CD,X'9a3753b352125b46911363e47bf542f2',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,A0C238BA-9E30-4EE6-80A6-43F731E9A5CD,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Windows2003Update,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=Windows2003Update,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5800,,,,5800,Windows2003Update,X'9b3ff8ddb636ec478043b57a79eb3af8',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Windows2003Update,,TRUE,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ActiveDirectoryUpdate,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",container,"CN=ActiveDirectoryUpdate,CN=DomainUpdates,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5801,,,,5801,ActiveDirectoryUpdate,X'62b1cb4306c69445ad81e1e1166d2781',,,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,ActiveDirectoryUpdate,,TRUE,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Password Settings Container,CN=System,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=PSPs,CN=System,DC=Kredit,DC=Dylan,DC=local",msImaging-PSPs,"CN=PSPs,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,5803,,,,5803,PSPs,X'af43febbbcb0b24da01c263692ac43d0',,,,,,,,,,,,,,,,,,,,,,,,"CN=ms-Imaging-PSPs,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,PSPs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=TPM Devices,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Administrator,CN=Users,DC=Kredit,DC=Dylan,DC=local",user,"CN=Administrator,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419065844.0Z,,8196,,,,12904,Administrator,X'c06281975a922c47914d146b84400d89',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf3f4010000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419065844.0Z;20240419065844.0Z;20240419064334.0Z;16010101181216.0Z,,,,,,,,,,,,,Administrator,Built-in account for administering the computer/domain,,,,,,,,,,"CN=Group Policy Creator Owners,CN=Users,DC=Kredit,DC=Dylan,DC=local;CN=Domain Admins,CN=Users,DC=Kredit,DC=Dylan,DC=local;CN=Enterprise Admins,CN=Users,DC=Kredit,DC=Dylan,DC=local;CN=Schema Admins,CN=Users,DC=Kredit,DC=Dylan,DC=local;CN=Administrators,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",66048,0,0,0,0,0,133579898029005680,133579818932526710,513,1,9223372036854775807,43,Administrator,805306368,133579827719663241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Guest,CN=Users,DC=Kredit,DC=Dylan,DC=local",user,"CN=Guest,CN=Users,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,Guest,X'ed93550e041a5b4884730114e55e4c1c',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf3f5010000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,,,,Guest,Built-in account for guest access to the computer/domain,,,,,,,,,,,,,0,0,,,,,514,,,,Guest,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Builtin,DC=Kredit,DC=Dylan,DC=local",builtinDomain,"CN=Builtin,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064232.0Z,,8198,,,,8198,Builtin,X'01a109a3ac8eaf46be17857fd8ef5052',,133579818106457223,-9223372036854775808,-6000000000,-6000000000,0,-37108517437440,0,0,0,1000,1,0,X'010100000000000520000000',1,1,87,,,,,-1946157056,,"CN=Builtin-Domain,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419073651.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,Builtin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Administrators,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",group,"CN=Administrators,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419065844.0Z,,8199,,,,12913,Administrators,X'b17d8e1db5178e4fb90cd97beeb216fc',,,,,,,,,,,,,,X'01020000000000052000000020020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419065844.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,Administrators,Administrators have complete and unrestricted access to the computer/domain,,,,,,,,,,,,,,,,,,,,1,,,Administrators,536870912,,"CN=Domain Admins,CN=Users,DC=Kredit,DC=Dylan,DC=local;CN=Enterprise Admins,CN=Users,DC=Kredit,DC=Dylan,DC=local;CN=Administrator,CN=Users,DC=Kredit,DC=Dylan,DC=local",-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Users,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",group,"CN=Users,CN=Builtin,DC=Kredit,DC=Dylan,DC=local",4,20240419064232.0Z,20240419064334.0Z,,8202,,,,12381,Users,X'4aa501fb48fe774882cc13518ecfff61',,,,,,,,,,,,,,X'01020000000000052000000021020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Users,Users are prevented from making accidental or intentional system-wide changes and can run most applications,,,,,,,,,,,,,,,,,,,,,,,Users,536870912,,"CN=Domain Users,CN=Users,DC=Kredit,DC=Dylan,DC=local;CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=Kredit,DC=Dylan,DC=local;CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=Kredit,DC=Dylan,DC=local",-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
